"Peaks significantly differentially enriched (DESeq2 nominal p < 0.1) in control, whole embryos compared to U0126-treated, PMC-minus embryos. Column 1: DNase-seq Peak Name: peak number, obtained from DNase-seq RPS peak names.",,,,,,,,
DNase Peak Name,Scaffold,Start,End,baseMean,log2FoldChange,lfcSE,stat,pvalue
147581,Scaffold862,199965,200209,7.176401667,0.582895649,0.217470161,2.680347713,0.007354572
86275,Scaffold3204,38439,39161,19.78565647,0.653018691,0.243645523,2.680199832,0.007357822
50627,Scaffold198,213557,214648,30.16054526,0.64026692,0.239409851,2.674354955,0.007487316
70063,Scaffold256,168219,168522,11.79497198,0.629847598,0.235564932,2.673774888,0.007500278
119646,Scaffold552,651858,656150,224.3009085,0.404287613,0.151541871,2.667827779,0.007634338
111485,Scaffold485,513532,514008,15.36034068,0.643454304,0.242306916,2.65553421,0.00791829
127502,Scaffold627,289288,290896,55.37205222,0.568627977,0.214926031,2.645691515,0.008152412
50189,Scaffold1964,37293,38677,46.84594483,0.606365059,0.229316166,2.644231625,0.008187661
110723,Scaffold48,138773,142966,512.6851134,0.333248105,0.126133289,2.642031356,0.008241043
131528,Scaffold665,136984,138346,99.94688624,0.514169282,0.195147864,2.634767669,0.008419489
89013,Scaffold3331,9507,12560,179.6411181,0.45003425,0.170863188,2.633886534,0.008441369
47744,Scaffold190,61908,62407,23.15624911,0.641084093,0.243442799,2.633407501,0.008453286
5078,Scaffold107,282163,283185,34.70793739,0.614364909,0.233340285,2.632914022,0.008465577
145892,Scaffold84,118420,119549,28.27770649,0.637120281,0.24213132,2.631300569,0.008505877
52001,Scaffold20,1429686,1430601,49.53268716,0.576715969,0.219185158,2.631181662,0.008508854
148738,Scaffold88,198139,204451,724.8350038,0.307722332,0.117064211,2.628662771,0.008572132
115288,Scaffold514,322155,322800,24.78427045,0.634647545,0.242400241,2.618180338,0.008840007
116148,Scaffold520,490392,491794,52.77471815,0.5692917,0.217602512,2.616200039,0.008891445
62678,Scaffold2317,78603,79157,13.21740431,0.626334849,0.23952919,2.614858124,0.008926453
10707,Scaffold116,686684,689554,273.836825,0.382038397,0.14616364,2.613771776,0.008954883
110316,Scaffold477,401472,403407,175.1668774,0.418635752,0.16025465,2.612315783,0.008993114
14489,Scaffold122,971644,973720,189.0256554,0.409321179,0.156815272,2.610212464,0.0090486
89432,Scaffold336,113653,113995,10.66140209,0.613920284,0.235322741,2.608843843,0.009084869
91107,Scaffold344,754978,756441,48.52082328,0.586337021,0.224796707,2.608298978,0.009099344
42742,Scaffold179,243378,245009,83.46709707,0.50780368,0.194704339,2.608075822,0.009105278
25280,Scaffold1408,54093,54627,21.68634872,0.635154994,0.24355188,2.607883763,0.009110388
38269,Scaffold1689,26892,27757,29.52627242,0.628799227,0.241122125,2.607803941,0.009112513
7641,Scaffold111,178602,180111,32.36651861,0.63357081,0.242972929,2.60757778,0.009118535
114413,Scaffold507,142455,147929,312.9055014,0.394276896,0.151374789,2.604640424,0.009197072
66227,Scaffold243,592532,593424,41.30503801,0.612787621,0.235502639,2.602041418,0.009267066
141372,Scaffold780,88036,88910,24.26434344,0.629469254,0.242074975,2.600307014,0.009314039
67187,Scaffold246,458358,462064,276.9485448,0.390589754,0.150384284,2.597277737,0.009396591
155394,Scaffold97,616113,616966,25.72843808,0.626369457,0.241410908,2.59461953,0.009469568
126677,Scaffold62,385213,392295,570.0771815,0.317804159,0.122508816,2.594132979,0.00948298
51931,Scaffold20,1064585,1067049,269.8597546,0.409783111,0.158283547,2.588917923,0.009627804
33835,Scaffold159,416906,418600,160.8665516,0.420687778,0.163243368,2.577058918,0.009964496
15526,Scaffold1239,68488,69818,33.19252283,0.604508432,0.234589005,2.576883055,0.009969567
40876,Scaffold1744,139580,140506,30.03150847,0.611007473,0.237333689,2.574465831,0.0100395
75896,Scaffold278,153951,154783,20.20579612,0.627024458,0.243678807,2.57315959,0.010077473
99694,Scaffold3967,49356,51500,71.96976616,0.520207577,0.202231229,2.572340479,0.01010135
6488,Scaffold1091,58027,58614,17.18966231,0.617455278,0.240308988,2.569422324,0.010186823
153560,Scaffold946,5890,6625,17.7315703,0.625578789,0.243637326,2.567663995,0.010238635
67466,Scaffold247,358128,358795,18.67333431,0.623301088,0.243440164,2.560387239,0.010455559
155018,Scaffold966,33501,33968,11.62958854,0.60184442,0.235197548,2.558889009,0.010500726
59489,Scaffold222,568512,572479,194.677411,0.424819956,0.166057322,2.558272953,0.010519349
56244,Scaffold212,712930,713989,87.84869536,0.53401342,0.208773662,2.557858183,0.010531903
33846,Scaffold159,455978,457421,207.5862652,0.432391577,0.169057693,2.557656907,0.010538001
5443,Scaffold1074,150709,151264,14.65443093,0.613133999,0.240059776,2.55408886,0.010646608
67460,Scaffold247,351203,352296,43.30370796,0.589386051,0.230889305,2.552678009,0.010689827
33944,Scaffold1593,161734,164957,136.9125934,0.444854071,0.174271611,2.552647944,0.01069075
116158,Scaffold520,507861,510703,170.1348035,0.431051181,0.169326536,2.545680033,0.010906511
142779,Scaffold8,562871,563532,18.22073602,0.619947201,0.243614813,2.544784506,0.01093452
2755,Scaffold1030,58325,59669,40.28374182,0.584314584,0.229676057,2.544081393,0.010956555
11659,Scaffold1177,102121,102661,17.18949037,0.613001774,0.241415309,2.539200089,0.011110626
52000,Scaffold20,1426788,1427557,33.94617747,0.600420973,0.236507924,2.538692834,0.011126747
128065,Scaffold630,430110,439296,886.7598452,0.287970049,0.113716437,2.532352017,0.011330018
50908,Scaffold1985,179899,182640,224.5728949,0.420881069,0.166218865,2.532089656,0.0113385
8693,Scaffold1129,233757,236513,148.7183177,0.43080631,0.170496159,2.526780147,0.011511354
50638,Scaffold198,263578,264034,17.70766783,0.614162069,0.243176694,2.525579484,0.011550765
48266,Scaffold1910,77965,78447,21.50711138,0.614365321,0.243349757,2.524618593,0.011582392
120073,Scaffold558,341551,342919,66.35572592,0.529363633,0.210071462,2.519921693,0.011738094
141727,Scaffold786,107774,112209,377.5580121,0.342194695,0.136175252,2.512899297,0.011974351
54077,Scaffold206,476103,478148,290.9937414,0.368218781,0.146895285,2.506675297,0.012187261
49854,Scaffold1957,86502,87355,30.33886288,0.597698722,0.238486826,2.506212743,0.012203217
61145,Scaffold227,565919,567060,39.1249567,0.589668173,0.235293562,2.506095649,0.012207259
116111,Scaffold520,372533,373222,32.58983465,0.597704262,0.238624844,2.504786393,0.012252537
26551,Scaffold143,1090296,1090613,10.82700251,0.582517658,0.232765173,2.502598006,0.012328549
58793,Scaffold220,67232,69469,68.5188892,0.517253453,0.20684668,2.500661131,0.012396173
48662,Scaffold192,875805,877315,73.96257706,0.514089334,0.205602622,2.500402621,0.012405223
126207,Scaffold615,95348,96565,94.67747948,0.472385259,0.189555442,2.492069099,0.012700133
114593,Scaffold509,324816,325418,20.40780257,0.607097087,0.243695977,2.491206845,0.012730998
47109,Scaffold189,664884,666579,299.3600085,0.378870839,0.152138416,2.49030356,0.012763403
143947,Scaffold813,100560,100861,13.82951414,0.59529947,0.23934676,2.487184157,0.012875873
122284,Scaffold577,278660,281537,175.7032168,0.452063139,0.182000748,2.483853187,0.012996938
54826,Scaffold2080,45182,46568,57.18817022,0.54000827,0.217464765,2.483198923,0.013020835
98313,Scaffold388,233394,233788,13.41656004,0.594582281,0.239532187,2.482264646,0.013055028
129741,Scaffold649,239710,240775,28.11756812,0.592568353,0.238850132,2.480921187,0.013104334
102515,Scaffold416,321746,322186,14.6891975,0.598351582,0.241221723,2.480504552,0.013119659
32858,Scaffold1566,26905,27494,15.0122482,0.599920463,0.241926829,2.479759956,0.013147086
8761,Scaffold113,364967,365936,36.8611635,0.582919653,0.235073235,2.479736377,0.013147955
28913,Scaffold1485,114437,115057,17.87415095,0.60363806,0.243581486,2.478177094,0.013205558
138394,Scaffold743,208997,209219,9.586817079,0.568789152,0.229588003,2.477434125,0.013233083
123693,Scaffold5916,1633,4775,195.5748346,0.418108789,0.168780828,2.477229154,0.013240686
150987,Scaffold903,119583,123308,174.5070911,0.443680072,0.179390781,2.473260162,0.013388664
90829,Scaffold343,193522,194105,19.7343865,0.602218565,0.243648463,2.47166987,0.013448364
63148,Scaffold2330,128405,129227,27.82157829,0.59912969,0.242620415,2.469411697,0.013533542
92541,Scaffold352,133553,133629,3.410467844,0.430369005,0.174512795,2.466117197,0.013658664
55580,Scaffold210,358322,360840,199.8893926,0.39460462,0.160315264,2.461428867,0.013838484
126248,Scaffold615,222726,225947,245.5056634,0.379225712,0.154076974,2.461274405,0.013844443
10708,Scaffold116,689602,690077,15.6799084,0.596978999,0.24268274,2.45991536,0.013896979
76732,Scaffold280,251150,252244,32.78049661,0.582789738,0.236951042,2.459536511,0.013911655
11616,Scaffold1176,142711,144284,122.1735067,0.448643656,0.182600421,2.456969442,0.01401146
415,Scaffold10,393478,393925,16.75724527,0.594079564,0.242248077,2.452360289,0.014192248
133597,Scaffold689,107958,108379,9.059328434,0.557857,0.227484472,2.452286057,0.014195176
52002,Scaffold20,1432626,1433878,82.56884339,0.48768358,0.199007891,2.450574084,0.014262861
19996,Scaffold131,844295,845412,32.51115247,0.576085389,0.235912419,2.441946003,0.014608331
102512,Scaffold416,317930,319747,65.19425151,0.527837433,0.21619154,2.441526775,0.014625304
131529,Scaffold665,138636,139454,49.74399106,0.551082437,0.225931478,2.439157401,0.014721554
93346,Scaffold356,399576,410938,1624.856042,0.270461209,0.110883499,2.439147502,0.014721958
83216,Scaffold306,530320,530582,10.28898345,0.565135181,0.232121834,2.434648953,0.014906243
48204,Scaffold191,436614,438981,131.453486,0.430606083,0.176888789,2.434332248,0.014919294
51993,Scaffold20,1409132,1410338,33.63968839,0.579064007,0.238401459,2.428944891,0.015142834
75033,Scaffold274,414730,415532,21.54266235,0.590880295,0.243283073,2.428776847,0.015149854
80641,Scaffold2973,57140,57392,10.68309988,0.568867809,0.234226759,2.428705463,0.015152837
63575,Scaffold234,989702,989998,8.395788682,0.550381039,0.226793143,2.426797532,0.015232754
94667,Scaffold364,450177,451507,64.08401896,0.523089302,0.215730943,2.42473006,0.015319773
43298,Scaffold180,203003,204026,25.95943349,0.587230915,0.242241817,2.424151704,0.015344194
16606,Scaffold126,215020,220577,437.3723815,0.353504628,0.146010284,2.421094031,0.015473874
151037,Scaffold904,169086,170249,53.39187832,0.524410174,0.217045884,2.416125867,0.015686638
126648,Scaffold62,269268,270148,26.35175057,0.581076429,0.240938961,2.411716338,0.015877629
11981,Scaffold1181,315983,317376,151.8878464,0.411999178,0.170907254,2.410659393,0.015923712
109593,Scaffold472,77433,78230,24.9054006,0.584288094,0.242381445,2.410613956,0.015925695
96236,Scaffold374,148174,151340,165.8428738,0.462378155,0.191886167,2.409648186,0.01596791
39785,Scaffold1716,60560,61616,169.4564071,0.42620613,0.176967364,2.408388304,0.016023129
148045,Scaffold87,220979,221240,9.739717115,0.55814254,0.23182045,2.407650138,0.016055559
8302,Scaffold1120,19933,20414,19.88280204,0.586505604,0.243652109,2.407143559,0.016077848
54748,Scaffold208,116198,116366,5.030945491,0.477567013,0.198484855,2.406062735,0.016125495
40872,Scaffold1744,130887,131228,7.375375448,0.511712712,0.212803926,2.40462064,0.016189262
132713,Scaffold68,557466,560332,175.0877034,0.395525871,0.16458929,2.403108188,0.016256377
19968,Scaffold131,671285,672092,31.55603219,0.571787608,0.23804901,2.401974319,0.016306853
38569,Scaffold1694,89706,91314,63.47844279,0.540540853,0.225184418,2.400436307,0.01637554
147177,Scaffold858,530737,530926,7.524510106,0.527634594,0.219827767,2.400218139,0.016385304
61144,Scaffold227,562616,565302,288.3735427,0.363359651,0.151432182,2.399487659,0.016418033
27027,Scaffold144,345529,350274,492.1695093,0.314238227,0.131025478,2.398298654,0.016471429
141389,Scaffold780,165930,166642,22.68831238,0.582072297,0.242757045,2.397756558,0.016495824
24850,Scaffold14,941430,942756,63.71508884,0.510955712,0.213142719,2.397246848,0.016518791
51503,Scaffold2,217289,218400,44.43472015,0.554705451,0.231589966,2.395205029,0.016611074
156483,Scaffold99,234232,234752,13.97751481,0.577016312,0.241078621,2.393477734,0.016689494
17365,Scaffold127,892628,894083,42.7048197,0.542933338,0.226976765,2.392021657,0.016755854
132715,Scaffold68,561180,564678,277.677235,0.343225377,0.143520329,2.391475695,0.016780795
54255,Scaffold2064,228219,228547,9.343321431,0.543668858,0.227542152,2.389310519,0.016880029
